Category,Article Count,Percent of Archive,Tier,Description
Religion,24,30%,1 - Core Cluster,"Documented pastoral misconduct, financial fraud, and theological self-contradiction among American megachurch and evangelical leaders."
US History,12,15%,1 - Core Cluster,"Documented American demographic, political, and economic history absent from dominant media coverage."
Self Owned,8,10%,2 - Strategic,Politicians and public figures documented contradicting their own voting records and public statements.
Health and Healing,6,8%,2 - Strategic,"Peer-reviewed research on longevity, emotional wellness, spirituality, and ancestral healing."
Disarming Hate,4,5%,2 - Strategic,The documented case against racial essentialism using civil rights history and DEI beneficiary data.
Investigations,3,4%,2 - Strategic,"Deep-dive institutional accountability: Meta, CNN/Fox editorial record, clinical cost of DEI labeling."
Nerd Out,3,4%,2 - Strategic,"Data-heavy analytical pieces using FBI crime data, Foucauldian media theory, and credential comparisons."
Law and Justice,3,4%,2 - Strategic,"Constitutional law, criminal justice, and voting rights documented through primary sources."
US Constitution,3,4%,2 - Strategic,"Second Amendment race record, gerrymandering, and documented constitutional principles in practice."
Global South,3,4%,2 - Strategic,"African antiquity archaeology, Palestinian historical record, and immigration primary source chronology."
How It Works,2,3%,3 - Specialty,Platform explainer and founding record. Includes the CBR-00001 research track.
Women and Girls,2,3%,3 - Specialty,"Documented record of gender, institutional role, and the legal architecture of the concept of ladyhood."
Money and Power,2,3%,3 - Specialty,Federal debt record and documented wealth-building primary sources.
Technology,1,1%,3 - Specialty,Social media platform accountability documented through internal records.
Anti Racist Heroes,1,1%,3 - Specialty,Documented record of individuals who built positive cross-racial outcomes.
Censorship,1,1%,3 - Specialty,Documented record of editorial suppression inside major American media institutions.
War and Inhumanity,1,1%,3 - Specialty,Congressional voting record on military spending analyzed by race of targeted nations.